"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Annuity Calculator","0","0","Create Annuity Premium","0"
"0","","0","Annuity Calculator","1","0","Validate Annuity Input","0"
