"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","test_create_annuity_happy_path","tests.unit","Wed Aug 27 01:02:34 UTC 2025","broken","Wed Aug 27 01:02:34 UTC 2025","","test_annuity","",""
"","4","test_create_annuity_invalid_input","tests.unit","Wed Aug 27 01:02:35 UTC 2025","passed","Wed Aug 27 01:02:35 UTC 2025","","test_annuity","",""
